source_path,class_label,split,target_path
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2499200_1115900.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2499200_1115900.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2599550_1199875.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2599550_1199875.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2618025_1263800.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2618025_1263800.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2680450_1249150.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2680450_1249150.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2600175_1199075.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2600175_1199075.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2601200_1198100.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2601200_1198100.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2683175_1247325.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2683175_1247325.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2704950_1114300.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2704950_1114300.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2610775_1266950.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2610775_1266950.png
/Users/frederickurbel/4_Sem/DeepL/Projekt/DeepL_Datenset/yes/2600350_1199075.png,positive,train,/Users/frederickurbel/4_Sem/DeepL/Projekt/dataset/train/positive/2600350_1199075.png
